STATION,LATITUDE,LONGITUDE
34 ST-PENN STA,40.75032230000001,-73.9908707
FULTON ST,40.7098694,-74.00702540000002
23 ST,40.7453063,-73.9984746
GRD CNTRL-42 ST,40.7527262,-73.9772294
86 ST,40.7780602,-73.9521931
CANAL ST,40.719393,-74.0018987
34 ST-HERALD SQ,40.7488979,-73.98878859999999
CHAMBERS ST,40.7156663,-74.0095631
TIMES SQ-42 ST,40.7558611,-73.987061
59 ST,40.7661851,-73.9773038
42 ST-PORT AUTH,40.7578346,-73.99146259999999
14 ST,40.7313474,-73.9825664
ATL AV-BARCLAY,40.683666,-73.97881
WALL ST,40.70601389999999,-74.0088212
125 ST,40.8107718,-73.95261459999999
14 ST-UNION SQ,40.7348024,-73.990753
59 ST COLUMBUS,40.7687804,-73.9821154
28 ST,40.7490938,-73.9969443
96 ST,40.7932251,-73.96837359999999
50 ST,40.7626366,-73.9869403
CORTLANDT ST,40.7102788,-74.01099450000001
47-50 STS ROCK,40.75885,-73.98118610000002
PATH NEW WTC,40.7126452,-74.00989799999999
JAY ST-METROTEC,40.69225429999999,-73.9862942
CHURCH AV,40.7154456,-74.0075753
LEXINGTON AV/53,40.7404278,-73.98400629999999
BOWLING GREEN,40.7049774,-74.0136509
BOROUGH HALL,40.69391,-73.99046609999999
34 ST-HUDSON YD,40.7549713,-74.0010084
FLUSHING-MAIN,40.7364031,-73.8250548
KINGS HWY,40.6202587,-73.9417836
ST. GEORGE,40.6427017,-74.0799469
72 ST,40.7692518,-73.9594312
JAMAICA 179 ST,40.7126442,-73.7838184
116 ST,40.7973605,-73.93860289999999
WTC-CORTLANDT,40.71098,-74.01167559999999
FOREST HILLS 71,40.721691,-73.844521
7 AV,40.75177480000001,-73.9900696
JKSN HT-ROOSVLT,40.746739,-73.8909986
42 ST-BRYANT PK,40.7548368,-73.9841215
161/YANKEE STAD,40.8296426,-73.9261745
JOURNAL SQUARE,40.7345715,-74.0631544
51 ST,40.7632683,-73.9864745
COURT SQ,40.74535909999999,-73.943257
QUEENS PLAZA,40.7509846,-73.9402762
8 AV,40.7521936,-73.993451
RECTOR ST,40.7079826,-74.0136184
33 ST,40.7521095,-73.9953486
145 ST,40.8242193,-73.94518289999999
DELANCEY/ESSEX,40.7184874,-73.9882374
77 ST,40.7726397,-73.9574725
KEW GARDENS,40.705695,-73.8272029
JAMAICA CENTER,40.702115,-73.8012573
49 ST,40.76203659999999,-73.9874564
CITY / BUS,40.7470974,-73.99365449999999
GROVE STREET,40.7329892,-74.00377069999999
CLINTON-WASH AV,40.6835442,-73.9668165
EXCHANGE PLACE,40.706123,-74.0107718
W 4 ST-WASH SQ,40.72911269999999,-73.99571499999999
DEKALB AV,40.69172580000001,-73.948493
BERGEN ST,40.6761,-73.9499161
135 ST,40.81708450000001,-73.94791649999999
5 AV/53 ST,40.7602163,-73.975543
FLATBUSH AV-B.C,40.6461212,-73.95736099999999
BROOKLYN BRIDGE,40.7060855,-73.9968643
CONEY IS-STILLW,40.5742632,-73.9748754
66 ST-LINCOLN,40.7736972,-73.9822288
CROWN HTS-UTICA,40.6463192,-73.9297471
B'WAY-LAFAYETTE,40.7256804,-73.9807682
METROPOLITAN AV,40.7123481,-73.8913982
57 ST,40.767267,-73.9841435
LACKAWANNA,42.8256141,-78.8233664
72 ST-2 AVE,40.7686869,-73.9584429
WORLD TRADE CTR,40.7124175,-74.0127638
KINGSBRIDGE RD,40.8689669,-73.90280589999999
SOUTH FERRY,40.7017294,-74.0129572
NEWARK BM BW,40.6895314,-74.1744624
WHITEHALL S-FRY,40.7031155,-74.0130437
169 ST,40.8330398,-73.9059272
HARRISON,40.9700171,-73.7176337
103 ST,40.7902798,-73.9475994
36 ST,40.75347259999999,-73.9925244
AVENUE U,40.600369,-73.94248499999999
96 ST-2 AVE,40.784252,-73.94715339999999
FT HAMILTON PKY,40.632753,-74.00600899999999
FRANKLIN AV,40.68113170000001,-73.95566079999999
LEXINGTON AV/63,40.7409111,-73.9835019
GRAND ST,40.717664,-73.9922279
68ST-HUNTER CO,40.7678741,-73.9638866
BRIGHTON BEACH,40.5780706,-73.9596565
WOODHAVEN BLVD,40.70689429999999,-73.8589472
79 ST,40.7736341,-73.955834
CATHEDRAL PKWY,40.798268,-73.95251429999999
HOWARD BCH JFK,40.660476,-73.83030099999999
168 ST,40.8394861,-73.9360329
46 ST,40.7601631,-73.9888287
57 ST-7 AV,40.765564,-73.9803309
86 ST-2 AVE,40.7778826,-73.95178
FLUSHING AV,40.7021532,-73.9359971
THIRTY THIRD ST,,
63 DR-REGO PARK,40.7299355,-73.8612297
FORDHAM RD,40.8595729,-73.8874273
PROSPECT AV,40.8335739,-73.89630609999999
175 ST,40.8454678,-73.936636
NASSAU AV,40.7254274,-73.945774
5 AV/59 ST,40.7643054,-73.9730051
ASTOR PL,40.7300526,-73.992649
170 ST,40.8420924,-73.9262317
SPRING ST,40.7245656,-74.0019192
8 ST-NYU,40.7306065,-73.99244159999999
